Battery Charge (%),Cell Voltage (V)
0,3.119999886
4.102636337,3.25999999
8.670519829,3.380000114
13.20668316,3.450000048
25.80713272,3.559999943
37.90708923,3.640000105
78.7818985,4.010000229
96.46130371,4.110000134
98.48442078,4.139999866
99.49245453,4.170000076
100,4.199999809
