"Temperature (degF)","Electrical Resistivity"
-148,0.52081423997879
68,1.00005257129669
212,1.35415005683899
302,1.61385452747345
392,1.92703747749329
482,2.29807925224304
572,2.70830011367798
932,3.80208444595337
